Meal: Meal Name,Inventory,Type
Perfect Pot Pie,146,Lunch
Puy Lentil & Cabbage Burger with Roasted Veggies,115,Dinner
Veggie Heavy Spanakopita with Chickpea Toast and Olive and Almond Crumble,110,Dinner
Creamy Celeriac Soup with Rosemary Oat Crumble,97,Lunch
Roasted Chickpea & Tahini Soup,73,Lunch
Lunch Thyme Grain Bowl,62,Lunch
Eggplant Caponata with Herbed Quinoa,59,Dinner
Tomato & Cannellini Bean Soup,44,Lunch
Chickpea & Maitake Tacos with Corn Tortillas,39,Dinner
Veggie Brunch Muffin with Roasted Red Pepper Sauce,37,Lunch
Cremini & Shiitake Mushroom Soup with Rosemary Oat Crumble,36,Lunch
Cauliflower Alfredo with Red Lentil Rotini,30,Dinner
Butternut Squash & Red Lentil Dal with Seedy Topping,25,Dinner
Hippie Brunch Burrito with Green Salsa,20,Lunch
Saag No Paneer with Cardamom Rice,19,Dinner
Lunchtime Rita with Green Salsa,14,Lunch
Tuscan White Lentil Salad,13,Lunch
Chana Masala with Indian Spiced Rice,3,Dinner
Zia Lina Sugo with Green Lentil Penne,3,Dinner
Power Veggie Burger with Sweet Potato and Parsnip Fries and Real Ketchup,3,Dinner
Green Tomatillo Chili,2,Dinner
Caulilfower Farrotto with Spicy Almonds,2,Dinner
Tuscan Farro Salad,1,Lunch
